line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Santa_Cruz_de_la_Sierra"" title=""Santa Cruz de la Sierra"">Santa Cruz de la Sierra</a></th>",Santa Cruz de la Sierra,/wiki/Santa_Cruz_de_la_Sierra,-17.8,-63.183,NA
"<th scope=""row""><a href=""/wiki/Munich"" title=""Munich"">Munich</a></th>",Munich,/wiki/Munich,48.133,11.567,Germany
"<th scope=""row""><a href=""/wiki/Kharkov"" class=""mw-redirect"" title=""Kharkov"">Kharkov</a></th>",Kharkov,/wiki/Kharkov,50.00444,36.23139,Ukraine
"<th scope=""row""><a href=""/wiki/Yekaterinburg"" title=""Yekaterinburg"">Yekaterinburg</a></th>",Yekaterinburg,/wiki/Yekaterinburg,NA,NA,Russia
"<th scope=""row""><a href=""/wiki/San_Diego"" title=""San Diego"">San Diego</a></th>",San Diego,/wiki/San_Diego,32.715,-117.1625,NA
"<th scope=""row""><a href=""/wiki/Barranquilla"" title=""Barranquilla"">Barranquilla</a></th>",Barranquilla,/wiki/Barranquilla,10.96389,-74.79639,Colombia
"<th scope=""row""><a href=""/wiki/Milan"" title=""Milan"">Milan</a></th>",Milan,/wiki/Milan,45.467,9.183,Italy
"<th scope=""row""><a href=""/wiki/Ibadan"" title=""Ibadan"">Ibadan</a></th>",Ibadan,/wiki/Ibadan,7.39639,3.91667,Nigeria
"<th scope=""row""><a href=""/wiki/Makassar"" title=""Makassar"">Makassar</a></th>",Makassar,/wiki/Makassar,-5.133,119.417,Indonesia
"<th scope=""row""><a href=""/wiki/C%C3%B3rdoba,_Argentina"" title=""Córdoba, Argentina"">Córdoba</a></th>",Córdoba,"/wiki/C%C3%B3rdoba,_Argentina",-31.417,-64.183,Argentina
"<th scope=""row""><a href=""/wiki/Prague"" title=""Prague"">Prague</a></th>",Prague,/wiki/Prague,50.083,14.417,Czech Republic
"<th scope=""row""><a href=""/wiki/Mandalay"" title=""Mandalay"">Mandalay</a></th>",Mandalay,/wiki/Mandalay,21.975,96.08333,Myanmar
"<th scope=""row""><a href=""/wiki/Dallas"" title=""Dallas"">Dallas</a></th>",Dallas,/wiki/Dallas,32.77583,-96.79667,NA
"<th scope=""row""><a href=""/wiki/Montevideo"" title=""Montevideo"">Montevideo</a></th>",Montevideo,/wiki/Montevideo,-34.88361,-56.18194,NA
"<th scope=""row""><a href=""/wiki/Nizhny_Novgorod"" title=""Nizhny Novgorod"">Nizhny Novgorod</a></th>",Nizhny Novgorod,/wiki/Nizhny_Novgorod,NA,NA,Russia
"<th scope=""row""><a href=""/wiki/Abuja"" title=""Abuja"">Abuja</a></th>",Abuja,/wiki/Abuja,9.067,7.483,Nigeria
"<th scope=""row""><a href=""/wiki/Calgary"" title=""Calgary"">Calgary</a></th>",Calgary,/wiki/Calgary,51.05,-114.067,Canada
"<th scope=""row""><a href=""/wiki/Saitama,_Saitama"" title=""Saitama, Saitama"">Saitama</a></th>",Saitama,"/wiki/Saitama,_Saitama",35.86139,139.64556,NA
"<th scope=""row""><a href=""/wiki/Hiroshima"" title=""Hiroshima"">Hiroshima</a></th>",Hiroshima,/wiki/Hiroshima,34.38528,132.45528,NA
"<th scope=""row""><a href=""/wiki/Rosario,_Santa_Fe"" title=""Rosario, Santa Fe"">Rosario</a></th>",Rosario,"/wiki/Rosario,_Santa_Fe",-32.95,-60.667,Argentina
"<th scope=""row""><a href=""/wiki/Brisbane"" title=""Brisbane"">Brisbane</a></th>",Brisbane,/wiki/Brisbane,NA,NA,NA
"<th scope=""row""><a href=""/wiki/Belgrade"" title=""Belgrade"">Belgrade</a></th>",Belgrade,/wiki/Belgrade,44.817,20.467,NA
"<th scope=""row""><a href=""/wiki/Campinas"" title=""Campinas"">Campinas</a></th>",Campinas,/wiki/Campinas,-22.90083,-47.05722,Brazil
"<th scope=""row""><a href=""/wiki/Ulsan"" title=""Ulsan"">Ulsan</a></th>",Ulsan,/wiki/Ulsan,NA,NA,South Korea
"<th scope=""row""><a href=""/wiki/Omsk"" title=""Omsk"">Omsk</a></th>",Omsk,/wiki/Omsk,NA,NA,Russia
"<th scope=""row""><a href=""/wiki/Dakar"" title=""Dakar"">Dakar</a></th>",Dakar,/wiki/Dakar,14.69278,-17.44667,Senegal
